PT,PT_Low,PT_High,CS/A_cm2,error_cm2,CS/A_pb,CS,error,"sys,Normalisation error","sys,Point-to-point systematic error",y,QM,QM_Low,QM_High,SqrtS,xF,P NUCLEUS --> MU+ MU- X
2.1,2,2.2,0.24,0.1,0.00024,0.00024,0.0001,,,0.03,12.5,12,13,400,0.001875281,
2.3,2.2,2.4,0.13,0.08,0.00013,0.00013,0.00008,,,0.03,12.5,12,13,400,0.001875281,
2.7,2.6,2.8,0.12,0.07,0.00012,0.00012,0.00007,,,0.03,12.5,12,13,400,0.001875281,
2.9,2.8,3,0.037,0.037,0.000037,0.000037,0.000037,,,0.03,12.5,12,13,400,0.001875281,
3.1,3,3.2,0.039,0.039,0.000039,0.000039,0.000039,,,0.03,12.5,12,13,400,0.001875281,
0.1,0,0.2,0.87,0.51,0.00087,0.00087,0.00051,,,0.03,13.5,13,14,400,0.002025304,
0.3,0.2,0.4,0.57,0.23,0.00057,0.00057,0.00023,,,0.03,13.5,13,14,400,0.002025304,
0.5,0.4,0.6,0.62,0.2,0.00062,0.00062,0.0002,,,0.03,13.5,13,14,400,0.002025304,
0.7,0.6,0.8,0.85,0.21,0.00085,0.00085,0.00021,,,0.03,13.5,13,14,400,0.002025304,
0.9,0.8,1,0.38,0.13,0.00038,0.00038,0.00013,,,0.03,13.5,13,14,400,0.002025304,
1.1,1,1.2,0.35,0.11,0.00035,0.00035,0.00011,,,0.03,13.5,13,14,400,0.002025304,
1.3,1.2,1.4,0.29,0.1,0.00029,0.00029,0.0001,,,0.03,13.5,13,14,400,0.002025304,
1.5,1.4,1.6,0.19,0.08,0.00019,0.00019,0.00008,,,0.03,13.5,13,14,400,0.002025304,
1.7,1.6,1.8,0.09,0.05,0.00009,0.00009,0.00005,,,0.03,13.5,13,14,400,0.002025304,
1.9,1.8,2,0.11,0.07,0.00011,0.00011,0.00007,,,0.03,13.5,13,14,400,0.002025304,
2.3,2.2,2.4,0.057,0.041,0.000057,0.000057,0.000041,,,0.03,13.5,13,14,400,0.002025304,
2.5,2.4,2.6,0.03,0.03,0.00003,0.00003,0.00003,,,0.03,13.5,13,14,400,0.002025304,
0.1,0,0.2,9160,420,9.16,9.16,0.42,,,0.21,4.5,4,5,300,0.006346407,
0.3,0.2,0.4,7650,300,7.65,7.65,0.3,,,0.21,4.5,4,5,300,0.006346407,
0.5,0.4,0.6,6610,300,6.61,6.61,0.3,,,0.21,4.5,4,5,300,0.006346407,
0.7,0.6,0.8,5580,300,5.58,5.58,0.3,,,0.21,4.5,4,5,300,0.006346407,
0.9,0.8,1,3910,270,3.91,3.91,0.27,,,0.21,4.5,4,5,300,0.006346407,
1.1,1,1.2,2730,230,2.73,2.73,0.23,,,0.21,4.5,4,5,300,0.006346407,
1.3,1.2,1.4,1850,200,1.85,1.85,0.2,,,0.21,4.5,4,5,300,0.006346407,
1.5,1.4,1.6,1580,200,1.58,1.58,0.2,,,0.21,4.5,4,5,300,0.006346407,
1.7,1.6,1.8,838,155,0.838,0.838,0.155,,,0.21,4.5,4,5,300,0.006346407,
1.9,1.8,2,503,136,0.503,0.503,0.136,,,0.21,4.5,4,5,300,0.006346407,
2.1,2,2.2,397,102,0.397,0.397,0.102,,,0.21,4.5,4,5,300,0.006346407,
2.3,2.2,2.4,189,84,0.189,0.189,0.084,,,0.21,4.5,4,5,300,0.006346407,
2.5,2.4,2.6,58,101,0.058,0.058,0.101,,,0.21,4.5,4,5,300,0.006346407,
2.7,2.6,2.8,212,194,0.212,0.212,0.194,,,0.21,4.5,4,5,300,0.006346407,
2.9,2.8,3,-139,108,-0.139,-0.139,0.108,,,0.21,4.5,4,5,300,0.006346407,
0.1,0,0.2,2570,160,2.57,2.57,0.16,,,0.21,5.5,5,6,300,0.00775672,
0.3,0.2,0.4,2300,100,2.3,2.3,0.1,,,0.21,5.5,5,6,300,0.00775672,
0.5,0.4,0.6,2070,100,2.07,2.07,0.1,,,0.21,5.5,5,6,300,0.00775672,
0.7,0.6,0.8,1820,110,1.82,1.82,0.11,,,0.21,5.5,5,6,300,0.00775672,
0.9,0.8,1,1130,80,1.13,1.13,0.08,,,0.21,5.5,5,6,300,0.00775672,
1.1,1,1.2,872,73,0.872,0.872,0.073,,,0.21,5.5,5,6,300,0.00775672,
1.3,1.2,1.4,635,61,0.635,0.635,0.061,,,0.21,5.5,5,6,300,0.00775672,
1.5,1.4,1.6,384,42,0.384,0.384,0.042,,,0.21,5.5,5,6,300,0.00775672,
1.7,1.6,1.8,260,38,0.26,0.26,0.038,,,0.21,5.5,5,6,300,0.00775672,
1.9,1.8,2,124,25,0.124,0.124,0.025,,,0.21,5.5,5,6,300,0.00775672,
2.1,2,2.2,103,22,0.103,0.103,0.022,,,0.21,5.5,5,6,300,0.00775672,
2.3,2.2,2.4,79,23,0.079,0.079,0.023,,,0.21,5.5,5,6,300,0.00775672,
2.5,2.4,2.6,32,13,0.032,0.032,0.013,,,0.21,5.5,5,6,300,0.00775672,
2.7,2.6,2.8,14,12,0.014,0.014,0.012,,,0.21,5.5,5,6,300,0.00775672,
2.9,2.8,3,6.6,11.5,0.0066,0.0066,0.0115,,,0.21,5.5,5,6,300,0.00775672,
3.1,3,3.2,5.5,9.6,0.0055,0.0055,0.0096,,,0.21,5.5,5,6,300,0.00775672,
3.9,3.8,4,13.3,13.8,0.0133,0.0133,0.0138,,,0.21,5.5,5,6,300,0.00775672,
0.1,0,0.2,849,70,0.849,0.849,0.07,,,0.21,6.5,6,7,300,0.009167033,
0.3,0.2,0.4,783,43,0.783,0.783,0.043,,,0.21,6.5,6,7,300,0.009167033,
0.5,0.4,0.6,655,35,0.655,0.655,0.035,,,0.21,6.5,6,7,300,0.009167033,
0.7,0.6,0.8,540,33,0.54,0.54,0.033,,,0.21,6.5,6,7,300,0.009167033,
0.9,0.8,1,414,30,0.414,0.414,0.03,,,0.21,6.5,6,7,300,0.009167033,
1.1,1,1.2,286,24,0.286,0.286,0.024,,,0.21,6.5,6,7,300,0.009167033,
1.3,1.2,1.4,187,19,0.187,0.187,0.019,,,0.21,6.5,6,7,300,0.009167033,
1.5,1.4,1.6,182,20,0.182,0.182,0.02,,,0.21,6.5,6,7,300,0.009167033,
1.7,1.6,1.8,110,14,0.11,0.11,0.014,,,0.21,6.5,6,7,300,0.009167033,
1.9,1.8,2,72,13,0.072,0.072,0.013,,,0.21,6.5,6,7,300,0.009167033,
2.1,2,2.2,40.8,9.9,0.0408,0.0408,0.0099,,,0.21,6.5,6,7,300,0.009167033,
2.3,2.2,2.4,21.9,6.8,0.0219,0.0219,0.0068,,,0.21,6.5,6,7,300,0.009167033,
2.5,2.4,2.6,19,6.5,0.019,0.019,0.0065,,,0.21,6.5,6,7,300,0.009167033,
2.7,2.6,2.8,7.9,4,0.0079,0.0079,0.004,,,0.21,6.5,6,7,300,0.009167033,
2.9,2.8,3,11,5,0.011,0.011,0.005,,,0.21,6.5,6,7,300,0.009167033,
3.1,3,3.2,1.9,1.9,0.0019,0.0019,0.0019,,,0.21,6.5,6,7,300,0.009167033,
3.3,3.2,3.4,2.3,2.3,0.0023,0.0023,0.0023,,,0.21,6.5,6,7,300,0.009167033,
3.7,3.6,3.8,2.8,2.9,0.0028,0.0028,0.0029,,,0.21,6.5,6,7,300,0.009167033,
0.1,0,0.2,286,39,0.286,0.286,0.039,,,0.21,7.5,7,8,300,0.010577345,
0.3,0.2,0.4,253,22,0.253,0.253,0.022,,,0.21,7.5,7,8,300,0.010577345,
0.5,0.4,0.6,237,19,0.237,0.237,0.019,,,0.21,7.5,7,8,300,0.010577345,
0.7,0.6,0.8,197,16,0.197,0.197,0.016,,,0.21,7.5,7,8,300,0.010577345,
0.9,0.8,1,145,14,0.145,0.145,0.014,,,0.21,7.5,7,8,300,0.010577345,
1.1,1,1.2,110,12,0.11,0.11,0.012,,,0.21,7.5,7,8,300,0.010577345,
