,hadron,Q2,x,z,phT,1D_dependence
364,k+,2.7887500000000003,0.17563636363636365,0.39537500000000003,0.39975000000000005,x
365,k+,2.7887500000000003,0.17781818181818182,0.39537500000000003,0.39975000000000005,x
366,k+,2.7887500000000003,0.18000000000000002,0.39537500000000003,0.39975000000000005,x
367,k+,2.7887500000000003,0.1821818181818182,0.39537500000000003,0.39975000000000005,x
368,k+,2.7887500000000003,0.18436363636363637,0.39537500000000003,0.39975000000000005,x
369,k+,2.7887500000000003,0.18654545454545454,0.39537500000000003,0.39975000000000005,x
370,k+,2.7887500000000003,0.18872727272727274,0.39537500000000003,0.39975000000000005,x
371,k+,2.7887500000000003,0.19090909090909092,0.39537500000000003,0.39975000000000005,x
372,k+,2.7887500000000003,0.1930909090909091,0.39537500000000003,0.39975000000000005,x
373,k+,2.7887500000000003,0.1952727272727273,0.39537500000000003,0.39975000000000005,x
374,k+,2.7887500000000003,0.19745454545454547,0.39537500000000003,0.39975000000000005,x
375,k+,2.7887500000000003,0.19963636363636364,0.39537500000000003,0.39975000000000005,x
376,k+,2.7887500000000003,0.20181818181818184,0.39537500000000003,0.39975000000000005,x
377,k+,2.7887500000000003,0.20400000000000001,0.39537500000000003,0.39975000000000005,x
378,k+,2.7887500000000003,0.2061818181818182,0.39537500000000003,0.39975000000000005,x
379,k+,2.7887500000000003,0.20836363636363636,0.39537500000000003,0.39975000000000005,x
380,k+,2.7887500000000003,0.21054545454545456,0.39537500000000003,0.39975000000000005,x
381,k+,2.7887500000000003,0.21272727272727274,0.39537500000000003,0.39975000000000005,x
